"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Пытаемся подтвердить Заказ используя неверный courier_id.","310","Негативный сценарий подтверждения Заказа: неверный courier_id","tests","Tue Jul 15 09:59:58 MSK 2025","passed","Tue Jul 15 09:59:59 MSK 2025","TestOrderAccept","test_order","",""
"Используя активный аккаунт Курьера, выполняем логин.","1046","Позитивный сценарий проверки логина Курьера.","tests","Tue Jul 15 09:59:45 MSK 2025","passed","Tue Jul 15 09:59:46 MSK 2025","TestCourierLogin","test_courier","",""
"Выполняем создание Курьера используя пустые вводные данные.","166","Негативный сценарий проверки создания Курьера: empty values","tests","Tue Jul 15 09:59:47 MSK 2025","passed","Tue Jul 15 09:59:47 MSK 2025","TestCourierCreate","test_courier","",""
"Выполняем создание Курьера используя пустые вводные данные.","172","Негативный сценарий проверки создания Курьера: empty values","tests","Tue Jul 15 09:59:47 MSK 2025","passed","Tue Jul 15 09:59:48 MSK 2025","TestCourierCreate","test_courier","",""
"Пытаемся подтвердить Заказ без order_id.","175","Негативный сценарий подтверждения Заказа: отсутствует order_id","tests","Tue Jul 15 09:59:57 MSK 2025","passed","Tue Jul 15 09:59:57 MSK 2025","TestOrderAccept","test_order","",""
"Выполняем логин Курьера используя пустые вводные данные.","179","Негативный сценарий проверки логина Курьера: empty values","tests","Tue Jul 15 09:59:47 MSK 2025","passed","Tue Jul 15 09:59:47 MSK 2025","TestCourierLogin","test_courier","",""
"Используя верные данные, получаем информацию о заказе.","199","Позитивный сценарий получения информации о Заказе.","tests","Tue Jul 15 09:59:53 MSK 2025","passed","Tue Jul 15 09:59:53 MSK 2025","TestGetOrderInfo","test_order","",""
"Пытаемся подтвердить Заказ используя неверный order_id.","190","Негативный сценарий подтверждения Заказа: неверный order_id","tests","Tue Jul 15 09:59:58 MSK 2025","passed","Tue Jul 15 09:59:58 MSK 2025","TestOrderAccept","test_order","",""
"Выполняем удаление Курьера используя неверные данные.","172","Негативный сценарий проверки удаления Курьера: wrong values","tests","Tue Jul 15 09:59:49 MSK 2025","passed","Tue Jul 15 09:59:49 MSK 2025","TestCourierDelete","test_courier","",""
"Используя верные данные, удаляем Курьера.","199","Позитивный сценарий удаления Курьера.","tests","Tue Jul 15 09:59:48 MSK 2025","passed","Tue Jul 15 09:59:48 MSK 2025","TestCourierDelete","test_courier","",""
"Выполняем логин Курьера используя неверные данные.","277","Негативный сценарий проверки логина Курьера: wrong values","tests","Tue Jul 15 09:59:46 MSK 2025","passed","Tue Jul 15 09:59:47 MSK 2025","TestCourierLogin","test_courier","",""
"Используя верные данные, выполняем создание заказа.","194","Позитивный сценарий создания Заказа.","tests","Tue Jul 15 09:59:49 MSK 2025","passed","Tue Jul 15 09:59:49 MSK 2025","TestCreateOrder","test_order","",""
"Используя верные данные, создаем Курьера.","198","Позитивный сценарий создания Курьера.","tests","Tue Jul 15 09:59:47 MSK 2025","passed","Tue Jul 15 09:59:47 MSK 2025","TestCourierCreate","test_courier","",""
"Выполняем логин Курьера используя пустые вводные данные.","211","Негативный сценарий проверки логина Курьера: empty values","tests","Tue Jul 15 09:59:47 MSK 2025","passed","Tue Jul 15 09:59:47 MSK 2025","TestCourierLogin","test_courier","",""
"Используя неверные данные, пытаемся получить информацию о заказе.","215","Негативный сценарий получения информации о Заказе.","tests","Tue Jul 15 09:59:54 MSK 2025","passed","Tue Jul 15 09:59:54 MSK 2025","TestGetOrderInfo","test_order","",""
"Выполняем удаление Курьера используя неверные данные.","167","Негативный сценарий проверки удаления Курьера: wrong values","tests","Tue Jul 15 09:59:48 MSK 2025","passed","Tue Jul 15 09:59:49 MSK 2025","TestCourierDelete","test_courier","",""
"Используя неверные данные, пытаемся получить информацию о заказе.","189","Негативный сценарий получения информации о Заказе.","tests","Tue Jul 15 09:59:53 MSK 2025","passed","Tue Jul 15 09:59:54 MSK 2025","TestGetOrderInfo","test_order","",""
"Выполняем логин Курьера используя неверные данные.","165","Негативный сценарий проверки логина Курьера: wrong values","tests","Tue Jul 15 09:59:46 MSK 2025","passed","Tue Jul 15 09:59:46 MSK 2025","TestCourierLogin","test_courier","",""
"Выполняем получения списка Заказов.","3399","Позитивный сценарий получения списка Заказов.","tests","Tue Jul 15 09:59:49 MSK 2025","passed","Tue Jul 15 09:59:53 MSK 2025","TestGetOrders","test_order","",""
"Используя верные данные, выполняем создание заказа.","211","Позитивный сценарий создания Заказа.","tests","Tue Jul 15 09:59:49 MSK 2025","passed","Tue Jul 15 09:59:49 MSK 2025","TestCreateOrder","test_order","",""
"Используя верные данные, подтверждаем уже подтвержденныый Заказ.","414","Негативный сценарий подтверждения Заказа: Заказ уже подтвержден","tests","Tue Jul 15 09:59:56 MSK 2025","passed","Tue Jul 15 09:59:56 MSK 2025","TestOrderAccept","test_order","",""
"Используя верные данные, выполняем создание заказа.","200","Позитивный сценарий создания Заказа.","tests","Tue Jul 15 09:59:49 MSK 2025","passed","Tue Jul 15 09:59:49 MSK 2025","TestCreateOrder","test_order","",""
"Используя верные данные, подтверждаем Заказ.","265","Позитивный сценарий подтверждения Заказа.","tests","Tue Jul 15 09:59:55 MSK 2025","passed","Tue Jul 15 09:59:55 MSK 2025","TestOrderAccept","test_order","",""
